,Equipment Type,Model,Total Model Losses,Description,Image Date,Image Link,Date Scraped
0,Tanks,T-54-3M,2,"1, destroyed",2024-02-18,https://i.postimg.cc/zBC4NPVv/1032-unkn-t55-destr-18-02-24.jpg,2025-09-19
1,Tanks,T-54-3M,2,"1, damaged and abandoned",2024-02-21,https://i.postimg.cc/s29RHpfN/1036-T-54-3-M-dam-aband-21-02-24.jpg,2025-09-19
2,Tanks,T-54B,2,"1, destroyed",2024-03-05,https://i.postimg.cc/02ZtkYNd/1020-T-54-B-destr-05-03-24.jpg,2025-09-19
3,Tanks,T-54B,2,"2, destroyed",2024-08-17,https://i.postimg.cc/Z5SDNYNS/1103-T-54-B-destr-17-08-24.jpg,2025-09-19
4,Tanks,T-55A,4,"1, destroyed",2024-02-04,https://twitter.com/bayraktar_1love/status/1754060409693163926,2025-09-19
5,Tanks,T-55A,4,"2, destroyed",2024-05-09,https://i.postimg.cc/rsGYFggv/1009-T-55-A-destr-09-05-24.jpg,2025-09-19
6,Tanks,T-55A,4,"3, destroyed",2025-08-21,https://i.postimg.cc/Hkqzt6TN/1011-T-55-A-destr-21-08-25.jpg,2025-09-19
7,Tanks,T-55A,4,"1, damaged",2023-08-05,https://i.postimg.cc/jdFBJdQb/1027-t55-dam-05-08-23.jpg,2025-09-19
8,Tanks,T-55A Obr. 1981,1,"1, destroyed",2024-09-15,https://i.postimg.cc/d0yGQ3Qk/1018-T-55-A-Obr-1981-destr-15-09-24.jpg,2025-09-19
9,Tanks,Unknown T-54/55,7,"1, destroyed",2023-06-18,https://twitter.com/CalibreObscura/status/1670510694838546436,2025-09-19
10,Tanks,Unknown T-54/55,7,"2, destroyed",2024-03-28,https://i.postimg.cc/3RPYPYV5/1006-unkn-t55-destr-28-03-24.jpg,2025-09-19
11,Tanks,Unknown T-54/55,7,"3, destroyed",2024-06-27,https://i.postimg.cc/ZYFMJhb0/1045-T-54-or-55-destr-27-06-24.jpg,2025-09-19
12,Tanks,Unknown T-54/55,7,"4, destroyed",2025-02-28,https://i.postimg.cc/sD6gn73J/1120-T-54-or-55-destr-28-02-25.jpg,2025-09-19
13,Tanks,Unknown T-54/55,7,"5, destroyed",2025-08-02,https://i.postimg.cc/6QwLcbny/1011-T-54-or-55-destr-02-08-25.jpg,2025-09-19
14,Tanks,Unknown T-54/55,7,"1, damaged and abandoned",2024-02-17,https://i.postimg.cc/pTqMF7mQ/1081-unkn-t54-55-dam-aband-17-02-24.jpg,2025-09-19
15,Tanks,Unknown T-54/55,7,"2, damaged and abandoned",2024-03-31,https://i.postimg.cc/KjbMBZLR/1106-unkn-t54-55-dam-aband-31-03-24.jpg,2025-09-19
16,Tanks,T-62 Obr. 1967,5,"1, destroyed",2024-02-11,https://i.postimg.cc/65Tqk5t6/1021-T-62-Obr-1967-destr-11-02-24.jpg,2025-09-19
17,Tanks,T-62 Obr. 1967,5,"2, destroyed",N/A,https://i.postimg.cc/52vJB77X/1014-t62-obr1967.jpg,2025-09-19
18,Tanks,T-62 Obr. 1967,5,"3, destroyed",2024-09-29,https://i.postimg.cc/26dvvtZC/1020-T-62-Obr-1967-destr-29-09-24.jpg,2025-09-19
19,Tanks,T-62 Obr. 1967,5,"4, destroyed",2024-10-09,https://i.postimg.cc/xT6m6jRd/1023-T-62-M-destr-09-10-24.jpg,2025-09-19
20,Tanks,T-62 Obr. 1967,5,"1, captured",2022-11-13,https://i.postimg.cc/yxw0SFD6/1001-T-62-Obr-1967-capt.jpg,2025-09-19
21,Tanks,T-62 Obr. 1972,2,"1, destroyed",2024-03-01,https://i.postimg.cc/zfqr10Kw/1044-t62-obr1967-destr-01-03-24.jpg,2025-09-19
22,Tanks,T-62 Obr. 1972,2,"1, abandoned",2023-12-10,https://i.postimg.cc/4N95JpPv/1035-T-62-Obr-1972-aband-10-12-23.jpg,2025-09-19
23,Tanks,T-62 Obr. 1975,1,"1, destroyed",2024-10-30,https://i.postimg.cc/8PCPzN7x/1065-T-62-Obr-1975-destr-30-10-24.jpg,2025-09-19
24,Tanks,T-62M,145,"1, destroyed",2022-07-06,https://twitter.com/UAWeapons/status/1544797070883684353,2025-09-19
25,Tanks,T-62M,145,"2, destroyed",2023-01-11,https://i.postimg.cc/X72RXDmM/1024-t62m-destr-11-01-23.jpg,2025-09-19
26,Tanks,T-62M,145,"3, destroyed",2022-09-21,https://twitter.com/UAWeapons/status/1572672235726573568,2025-09-19
27,Tanks,T-62M,145,"4, destroyed",2022-10-17,https://twitter.com/UAWeapons/status/1581908407967092738,2025-09-19
28,Tanks,T-62M,145,"5, destroyed",2022-11-09,https://twitter.com/UAWeapons/status/1590474674999558145,2025-09-19
29,Tanks,T-62M,145,"6 and 7, destroyed",2022-12-08,https://i.postimg.cc/fy6S2qj0/1010-2x-t62m-destr.jpg,2025-09-19
30,Tanks,T-62M,145,"8, destroyed",2022-10-14,https://i.postimg.cc/2yRMkB97/55h.png,2025-09-19
31,Tanks,T-62M,145,"9, destroyed",2022-11-16,https://i.postimg.cc/gkKRT9Sn/1014-t62m-destr-16-11-22.jpg,2025-09-19
32,Tanks,T-62M,145,"10, destroyed",2023-01-08,https://i.postimg.cc/cLQ5SJcX/1005-t62m-destr-08-01-23.jpg,2025-09-19
33,Tanks,T-62M,145,"11, destroyed",2023-01-07,https://i.postimg.cc/Dy4Mx64V/1038-t62m-destr-07-01-23.jpg,2025-09-19
34,Tanks,T-62M,145,"12, destroyed",2023-01-27,https://i.postimg.cc/N0DghMNG/1005-t62m-destr-27-01-23.jpg,2025-09-19
35,Tanks,T-62M,145,"13, destroyed",2023-03-20,https://i.postimg.cc/NFFTSxhD/1025-t62m-destr-20-03-23.jpg,2025-09-19
36,Tanks,T-62M,145,"14, destroyed",2023-03-22,https://twitter.com/UAWeapons/status/1638590667323580425,2025-09-19
37,Tanks,T-62M,145,"15, destroyed",2023-05-26,https://i.postimg.cc/KvkckFr1/1011-T-62-M-destr-26-05-23.jpg,2025-09-19
